Country_code;Total_Population;Male_Population;Female_Population;Population_Density;Life_Expectancy
BI;11875000;5894000;5981000;458;62
KM;791000;397000;394000;425;64
DJ;1074000;534000;540000;46;63
ER;3499000;1725000;1774000;29;67
ET;114121000;57375000;56745000;114;66
KE;50951000;25272000;25679000;88;63
MG;27533000;13805000;13729000;47;66
MW;18867000;9168000;9699000;200;64
MU;1296000;641000;656000;639;75
YT;294000;140000;155000;785;77
MZ;30286000;14852000;15434000;39;61
RE;949000;458000;491000;380;82
RW;12835000;6266000;6569000;530;66
SC;104000;55000;49000;228;74
SO;15981000;8011000;7970000;25;57
SS;10448000;5167000;5281000;19;56
UG;42949000;21242000;21707000;215;63
TZ;59873000;29563000;30309000;68;67
ZM;18380000;9066000;9314000;25;63
ZW;15355000;7232000;8123000;40;61
AO;32354000;15983000;16371000;26;62
CM;25782000;12855000;12927000;55;62
CF;5209000;2606000;2603000;8;55
TD;16127000;8095000;8032000;13;53
CG;5571000;2782000;2789000;16;63
CD;89907000;44600000;45306000;40;60
GQ;1553000;822000;731000;55;62
GA;2243000;1144000;1098000;9;67
ST;215000;107000;107000;224;69
DZ;42705000;21757000;20948000;18;76
EG;105619000;53429000;52189000;106;71
LY;6569000;3329000;3240000;4;72
MA;36304000;18282000;18023000;81;74
SD;43232000;21608000;21624000;24;66
TN;12049000;5963000;6087000;78;76
EH;545000;301000;244000;2;70
BW;2500000;1233000;1266000;4;65
SZ;1170000;580000;590000;67;61
LS;2226000;1098000;1128000;73;54
ZA;58087000;28208000;29879000;48;66
BJ;12290000;6152000;6138000;109;60
BF;20952000;10431000;10520000;77;60
CV;577000;287000;290000;143;76
CI;26148000;13218000;12929000;82;59
GM;2509000;1247000;1262000;248;64
GH;31522000;15724000;15799000;139;65
GN;12878000;6350000;6528000;52;60
GW;1970000;972000;999000;70;61
LR;4985000;2479000;2506000;52;61
ML;20567000;10388000;10180000;17;60
MR;4384000;2145000;2239000;4;66
NE;23443000;11890000;11554000;19;63
NG;203304000;102681000;100624000;223;53
SH;5000;3000;3000;14;77
SN;16001000;7861000;8140000;83;69
SL;8047000;4030000;4016000;112;60
TG;8243000;4142000;4101000;152;61
KZ;18754000;9006000;9749000;7;72
KG;6324000;3105000;3219000;33;71
TJ;9337000;4697000;4640000;65;71
TM;6158000;3050000;3108000;13;69
UZ;32977000;16495000;16482000;78;71
CN;1421864000;726782000;695082000;148;78
HK;7496000;3462000;4034000;6821;85
MO;664000;312000;351000;20739;85
TW;23778000;11802000;11975000;671;81
KP;25755000;12708000;13048000;214;73
JP;125792000;61159000;64633000;334;84
MN;3232000;1606000;1626000;2;72
KR;51804000;25894000;25909000;524;84
AF;37769000;19090000;18679000;58;64
BD;165516000;82164000;83352000;1272;73
BT;767000;407000;360000;20;71
IN;1383112000;714325000;668787000;465;71
IR;86564000;43792000;42772000;53;76
MV;505000;292000;213000;1682;80
NP;28832000;13704000;15128000;196;70
PK;223293000;113015000;110278000;290;67
LK;21650000;10441000;11209000;345;76
BN;438000;227000;211000;76;75
KH;16208000;8021000;8186000;90;71
ID;269583000;135798000;133784000;141;71
LA;7212000;3636000;3576000;31;68
MY;32804000;16794000;16010000;100;76
MM;53040000;26423000;26617000;81;67
PH;110381000;56011000;54370000;368;72
SG;5866000;3067000;2800000;8589;84
TH;71308000;34723000;36584000;140;79
TL;1280000;653000;627000;86;68
VN;95777000;47288000;48488000;306;74
AM;2821000;1275000;1546000;99;75
AZ;10233000;5051000;5182000;124;73
BH;1494000;933000;561000;1908;80
CY;1229000;616000;613000;133;81
GE;3771000;1775000;1996000;54;73
IQ;41564000;20789000;20775000;96;72
IL;8608000;4288000;4320000;398;83
JO;10699000;5556000;5143000;120;76
KW;4441000;2738000;1703000;249;80
LB;5782000;2814000;2968000;565;79
OM;4603000;2925000;1678000;15;78
QA;2807000;2056000;751000;242;81
SA;35827000;20836000;14991000;17;77
PS;4910000;2447000;2463000;816;75
SY;20098000;10074000;10024000;109;72
TR;83482000;41867000;41615000;108;78
AE;9212000;6444000;2768000;130;80
YE;31547000;15954000;15593000;60;65
BY;9674000;4468000;5206000;48;74
BG;7053000;3421000;3632000;65;75
CZ;10537000;5189000;5348000;136;79
HU;9772000;4679000;5093000;108;76
PL;38494000;18626000;19868000;126;78
MD;3109000;1478000;1631000;95;71
RO;19524000;9451000;10073000;85;77
RU;145742000;67697000;78045000;9;74
SK;5454000;2663000;2791000;111;78
UA;44211000;20481000;23730000;76;75
DK;5796000;2882000;2914000;137;81
EE;1327000;627000;700000;31;79
FO;52000;27000;25000;37;78
FI;5522000;2726000;2796000;18;82
GG;62000;31000;32000;974;82
IS;361000;185000;176000;4;82
IE;4896000;2425000;2471000;72;82
IM;84000;42000;42000;147;81
JE;107000;53000;54000;923;81
LV;1917000;885000;1032000;31;76
LT;2849000;1332000;1517000;45;76
NO;5348000;2696000;2652000;18;83
SE;10268000;5163000;5105000;25;83
GB;66779000;32972000;33807000;275;82
AL;2874000;1439000;1435000;105;79
AD;76000;39000;38000;162;83
BA;3361000;1653000;1708000;66;77
HR;4130000;2007000;2122000;74;79
GI;33000;16000;16000;3269;82
GR;10574000;5182000;5392000;81;81
IT;59728000;29090000;30638000;202;84
XK;1687000;841000;846000;155;79
MT;504000;260000;244000;1599;83
ME;630000;307000;323000;46;77
MK;2114000;1055000;1060000;85;77
PT;10290000;4858000;5432000;112;82
SM;34000;17000;18000;560;83
RS;7401000;3549000;3852000;96;77
SI;2113000;1058000;1055000;105;82
ES;47131000;23103000;24028000;94;84
AT;8880000;4368000;4512000;108;82
BE;11511000;5678000;5833000;380;82
FR;64400000;31141000;33259000;117;83
DE;83148000;41024000;42125000;239;82
LI;38000;19000;19000;241;84
LU;620000;312000;308000;239;82
MC;37000;18000;19000;24855;87
NL;17363000;8624000;8739000;516;82
CH;8576000;4253000;4322000;214;84
AI;15000;8000;8000;175;77
AG;92000;44000;48000;209;79
AW;106000;50000;56000;591;76
BS;405000;194000;211000;76;71
BB;280000;134000;146000;652;77
BQ;26000;13000;12000;78;76
VG;31000;15000;16000;199;76
KY;66000;33000;33000;274;75
CU;11317000;5628000;5688000;106;78
CW;193000;93000;100000;455;76
DM;71000;36000;36000;95;74
DO;10882000;5472000;5409000;225;74
GD;123000;61000;61000;361;75
GP;395000;179000;216000;243;83
HT;11160000;5535000;5625000;405;64
JM;2814000;1397000;1417000;260;72
MQ;372000;172000;201000;351;83
MS;5000;2000;2000;44;75
PR;3293000;1561000;1732000;379;79
BL;10000;6000;5000;476;80
KN;48000;23000;25000;184;72
LC;179000;89000;90000;290;73
MF;33000;16000;17000;625;80
VC;105000;54000;51000;269;73
SX;43000;23000;20000;1264;75
TT;1520000;752000;768000;296;74
TC;43000;22000;21000;45;75
VI;101000;47000;53000;288;75
BZ;389000;196000;193000;17;74
CR;5085000;2546000;2538000;100;79
SV;6280000;2993000;3288000;303;73
GT;17106000;8473000;8634000;160;73
HN;9959000;5032000;4927000;91;73
MX;125085000;61187000;63898000;64;74
NI;6664000;3284000;3380000;55;74
PA;4233000;2119000;2114000;57;78
AR;44746000;22153000;22592000;16;77
BO;11777000;5916000;5861000;11;68
BR;211783000;104120000;107663000;25;75
CL;19039000;9450000;9589000;25;80
CO;50187000;24779000;25408000;45;77
EC;17344000;8673000;8671000;70;77
FK;4000;2000;2000;0;79
GF;284000;141000;143000;3;77
GY;799000;393000;406000;4;69
PY;6530000;3280000;3250000;16;74
PE;32825000;16268000;16557000;26;76
SR;600000;299000;301000;4;72
UY;3428000;1659000;1769000;20;78
VE;28972000;14366000;14606000;32;72
BM;64000;31000;33000;1182;81
CA;37523000;18641000;18881000;4;82
GL;56000;30000;26000;0;72
PM;6000;3000;3000;26;77
US;334320000;165699000;168621000;37;79
AU;25357000;12579000;12778000;3;83
NZ;4959000;2452000;2507000;19;83
FJ;918000;461000;457000;50;68
NC;285000;142000;143000;16;80
PG;9542000;4937000;4606000;21;65
SB;675000;345000;330000;23;70
VU;304000;153000;151000;25;70
GU;169000;85000;84000;312;78
KI;124000;60000;64000;171;67
MH;45000;23000;22000;248;65
FM;111000;56000;55000;159;71
NR;12000;6000;6000;607;63
MP;50000;27000;23000;109;77
PW;18000;9000;9000;39;65
AS;47000;24000;24000;237;72
CK;17000;8000;9000;71;75
PF;300000;152000;148000;81;83
NU;2000;1000;1000;7;71
WS;212000;108000;104000;75;72
TK;2000;1000;1000;146;75
TO;105000;52000;53000;161;71
TV;11000;6000;5000;365;64
WF;12000;6000;6000;84;80
